country,year,co2
Germany,1969,1052.001
Germany,1970,1026.022
Germany,1971,1037.236
Germany,1972,1041.48
Germany,1973,1085.736
Germany,1974,1062.724
Germany,1975,1002.444
Germany,1976,1090.837
Germany,1977,1052.604
Germany,1978,1079.127
Germany,1979,1117.882
Germany,1980,1100.059
Germany,1981,1048.517
Germany,1982,1015.727
Germany,1983,1011.597
Germany,1984,1033.237
Germany,1985,1044.11
Germany,1986,1047.463
Germany,1987,1032.434
Germany,1988,1029.014
Germany,1989,1008.781
Germany,1990,1052.349
Germany,1991,1014.2
Germany,1992,965.89
Germany,1993,956.233
Germany,1994,939.63
Germany,1995,939.177
Germany,1996,959.124
Germany,1997,931.23
Germany,1998,923.276
Germany,1999,895.643
Germany,2000,899.78
Germany,2001,916.366
Germany,2002,899.821
Germany,2003,900.866
Germany,2004,886.966
Germany,2005,866.389
Germany,2006,877.997
Germany,2007,851.383
Germany,2008,854.706
Germany,2009,790.196
Germany,2010,832.67
Germany,2011,809.427
Germany,2012,813.893
Germany,2013,831.316
Germany,2014,792.685
Germany,2015,795.816
Germany,2016,800.51
Germany,2017,786.655
Germany,2018,755.362
Germany,2019,701.955
United States,1800,0.253
United States,1801,0.267
United States,1802,0.289
United States,1803,0.297
United States,1804,0.333
United States,1805,0.341
United States,1806,0.333
United States,1807,0.377
United States,1808,0.392
United States,1809,0.403
United States,1810,0.418
United States,1811,0.447
United States,1812,0.484
United States,1813,0.52
United States,1814,0.561
United States,1815,0.601
United States,1816,0.663
United States,1817,0.718
United States,1818,0.78
United States,1819,0.762
United States,1820,0.791
United States,1821,0.828
United States,1822,0.865
United States,1823,0.901
United States,1824,1.015
United States,1825,1.136
United States,1826,1.315
United States,1827,1.447
United States,1828,1.594
United States,1829,1.795
United States,1830,2.088
United States,1831,2.264
United States,1832,3.023
United States,1833,3.528
United States,1834,3.382
United States,1835,4.316
United States,1836,4.73
United States,1837,5.305
United States,1838,5.031
United States,1839,5.518
United States,1840,5.873
United States,1841,6.214
United States,1842,6.918
United States,1843,7.764
United States,1844,9.307
United States,1845,11.205
United States,1846,12.71
United States,1847,15.07
United States,1848,16.785
United States,1849,18.221
United States,1850,19.793
United States,1851,24.633
United States,1852,26.791
United States,1853,30.162
United States,1854,33.159
United States,1855,38.161
United States,1856,40.037
United States,1857,41.055
United States,1858,41.649
United States,1859,45.32
United States,1860,47.438
United States,1861,45.679
United States,1862,47.449
United States,1863,54.81
United States,1864,58.657
United States,1865,58.822
United States,1866,59.232
United States,1867,72.866
United States,1868,82.352
United States,1869,93.696
United States,1870,98.62
United States,1871,103.021
United States,1872,126.305
United States,1873,139.507
United States,1874,134.297
United States,1875,135.748
United States,1876,132.82
United States,1877,147.176
United States,1878,143.904
United States,1879,175.469
United States,1880,198.684
United States,1881,210.193
United States,1882,235.394
United States,1883,253.882
United States,1884,267.589
United States,1885,272.162
United States,1886,287.463
United States,1887,307.38
United States,1888,373.875
United States,1889,335.542
United States,1890,401.747
United States,1891,427.424
United States,1892,450.448
United States,1893,454.094
United States,1894,425.05
United States,1895,479.947
United States,1896,480.882
United States,1897,500.286
United States,1898,545.32
United States,1899,625.533
United States,1900,664.123
United States,1901,723.182
United States,1902,766.638
United States,1903,896.937
United States,1904,882.953
United States,1905,987.989
United States,1906,1037.809
United States,1907,1206.404
United States,1908,1055.659
United States,1909,1169.267
United States,1910,1276.14
United States,1911,1263.459
United States,1912,1348.625
United States,1913,1448.384
United States,1914,1323.621
United States,1915,1372.983
United States,1916,1524.475
United States,1917,1676.786
United States,1918,1751.951
United States,1919,1484.188
United States,1920,1744.765
United States,1921,1430.738
United States,1922,1443.529
United States,1923,1906.245
United States,1924,1708.89
United States,1925,1755.017
United States,1926,1902.952
United States,1927,1859.812
United States,1928,1827.936
United States,1929,1960.553
United States,1930,1742.555
United States,1931,1483.059
United States,1932,1256.453
United States,1933,1347.302
United States,1934,1434.583
United States,1935,1490.299
United States,1936,1710.857
United States,1937,1789.832
United States,1938,1513.492
United States,1939,1667.993
United States,1940,1871.653
United States,1941,2039.421
United States,1942,2194.073
United States,1943,2267.575
United States,1944,2440.436
United States,1945,2355.413
United States,1946,2253.295
United States,1947,2481.044
United States,1948,2577.397
United States,1949,2160.38
United States,1950,2536.096
United States,1951,2612.719
United States,1952,2545.38
United States,1953,2606.057
United States,1954,2483.296
United States,1955,2721.023
United States,1956,2852.385
United States,1957,2828.311
United States,1958,2740.357
United States,1959,2823.005
United States,1960,2887.82
United States,1961,2877.37
United States,1962,2984.002
United States,1963,3116.022
United States,1964,3252.755
United States,1965,3388.193
United States,1966,3559.179
United States,1967,3693.298
United States,1968,3828.306
United States,1969,4021.503
United States,1970,4325.501
United States,1971,4351.309
United States,1972,4558.453
United States,1973,4762.452
United States,1974,4592.958
United States,1975,4400.795
United States,1976,4607.168
United States,1977,4735.366
United States,1978,4882.964
United States,1979,4894.043
United States,1980,4716.716
United States,1981,4530.37
United States,1982,4301.971
United States,1983,4335.917
United States,1984,4468.262
United States,1985,4484.338
United States,1986,4487.856
United States,1987,4680.834
United States,1988,4885.591
United States,1989,4948.021
United States,1990,5128.301
United States,1991,5078.89
United States,1992,5182.707
United States,1993,5283.438
United States,1994,5377.033
United States,1995,5438.906
United States,1996,5626.912
United States,1997,5703.707
United States,1998,5751.052
United States,1999,5830.298
United States,2000,5998.07
United States,2001,5900.437
United States,2002,5942.652
United States,2003,5991.96
United States,2004,6107.618
United States,2005,6131.893
United States,2006,6051.051
United States,2007,6128.43
United States,2008,5930.54
United States,2009,5491.036
United States,2010,5698.056
United States,2011,5565.294
United States,2012,5367.569
United States,2013,5514.029
United States,2014,5561.719
United States,2015,5412.432
United States,2016,5292.268
United States,2017,5253.606
United States,2018,5424.882
United States,2019,5284.697
